title,box_off_num
용서는 없다,399018.18964718713
아빠가 여자를 좋아해,835493.7803757732
하모니,647281.1498092894
의형제,1190511.0920596903
평행 이론,793366.2299847639
회오리 바람,4864.930481423182
경계도시 2,2507.2809761277645
이웃집 남자,1167.0951969169278
아마존의 눈물 극장판,7457.22758631321
반가운 살인자,112485.82656678639
집 나온 남자들,90752.75339153639
베스트셀러,414911.4845465748
작은 연못,107192.94196719746
경,751.25722627165
대한민국 1%,348011.39978381473
포화 속으로,1143112.192163656
나쁜 놈이 더 잘 잔다,9363.153381393815
맨발의 꿈,931343.2083333242
요술,43842.416071551415
마법천자문: 대마왕의 부활을 막아라,52197.47265007829
인플루언스,1251.7709625164418
미스터 좀비,4098.686876619528
김복남 살인사건의 전말,572920.0930020146
엄지아빠,2137.046187277592
탈주,1041.4631431255739
해결사,679481.5701409257
할,420.8484252923384
된장,409296.65033638035
조금만 더 가까이,4498.468837628438
우리 만난 적 있나요,2559.353641084453
쩨쩨한 로맨스,591068.9479519426
용서,3973.7361082028397
브라보! 재즈 라이프,4758.012110177194
카페 느와르,139678.1274419625
오래된 인력거,4805.521264736373
창피해,4862.757303582684
"양 한 마리, 양 두 마리",2862.2369926152546
하얀 정글,1888.7938231673181
다슬이,2534.8024365193974
REC 알이씨,969.7882062082768
량강도 아이들,5105.40723663604
티끌모아 로맨스,227734.943615064
더 킥,232089.70340376918
커플즈,62010.598742168135
오늘,315377.062548968
완득이,538073.7907232926
은어,1390.8429561568414
고래를 찾는 자전거,6851.273435884078
도가니,263469.804243245
겨울냄새,1610.836090543669
환타스틱 모던가야그머,2770.28763001947
블라인드,563096.4960608757
링크,17192.92776909972
퀵,436469.8210509585
모비딕,964163.7052337108
굿바이 보이,35068.813244313016
종로의 기적,11957.142595513917
회초리,571237.8159591304
체포왕,903442.0380388498
세상에서 가장 아름다운 이별,3891150.3538393956
나는 아빠다,416600.3937607551
수상한 고객들,710713.2214792165
수상한 이웃들,7257.748306409785
돌아오는 길,1088.632053460609
우리 이웃의 범죄,26326.057844576462
엄마는 창녀다,730.8347755116993
위험한 상견례,692004.4422537924
간증,4503.791831409207
"사랑한다, 사랑하지 않는다",109952.2649964931
"혜화, 동",25499.464162692664
글러브,639926.5217544067
가문의 귀환,740998.5003002861
잔혹한 앵글의 로망스,431.31526627452973
나의 PS 파트너,771849.3071725315
롤플레이,1098.644166575959
마티나,494.35200430263075
음치 클리닉,1401343.119120533
남영동1985,8923.038450932176
돈 크라이 마미,50508.518229685484
반드시 크게 들을 것 2 : Wild Days,1644.8737217040039
범죄소년,10196.759856767541
내가 살인범이다,1509610.5333652133
터치,8493.276633737094
늑대소년,1146898.663350081
맥코리아,1678.6975438561574
용의자X,1004431.7769686711
하나안,1472.553708199147
투 올드 힙합 키드,2200.232202929036
한경직,2224.611763037988
미운오리새끼,165646.9808793322
황제펭귄 펭이와 솜이,1596.720729083828
두 개의 문,2180.9722328646403
I AM,240226.7197972237
후궁 : 제왕의 첩,1307580.250950801
"안녕, 하세요!",41493.08949340452
천국의 아이들,4509.640725837622
할머니는 일학년,2454.045161907465
두레소리,2042.3345104891835
"봄, 눈",112298.1386523858
은교,121364.68447022242
간기남,1078918.2460531904
시체가 돌아왔다,939080.0976109339
말하는 건축가,3990.840106290192
밀월도 가는 길,4125.602753251843
파파,510343.00297919364
점박이:한반도의 공룡3D,15633.426738210388
댄싱퀸,4870580.075343212
누구의 딸도 아닌 해원,1518.1320177045257
신세계,1522787.4595452666
굿바이 홈런,4775.189909247233
불륜의 시대,1284.3501363946764
남쪽으로 튀어,1044455.1475193192
좋은 친구들,1031223.2230955448
지슬 - 끝나지 않은 세월 2,3067.0017875607264
누구나 제 명에 죽고 싶다,3306.196949637997
사이코메트리,492231.8150257672
환상속의 그대,4888.2301938498085
몽타주,1388606.20493616
"힘내세요, 병헌씨",6005.94911278664
꼭두각시,4074.8505148319405
홀리,4866.418799714525
마이 라띠마,309555.18985970825
더 테러 라이브,732174.5122772743
슈퍼피쉬 - 끝없는 여정,5802.882521423938
콩가네,3744.664626649923
허풍,3159.4301099281765
젊은 엄마,846.9027973738201
노라노,5796.8300269643405
노브레싱,31633.008822913045
말하는 건축 시티:홀,7417.537484844581
댄서김의 은밀한 교수법,694.3267045707474
소원,297799.55631785706
