title,box_off_num
용서는 없다,300964.7286415213
아빠가 여자를 좋아해,1617963.5429535045
하모니,1960845.9531968723
의형제,1381586.9835354108
평행 이론,992635.3372274549
회오리 바람,6350.605237350741
경계도시 2,1976.8568933012666
이웃집 남자,2596.8958443174674
아마존의 눈물 극장판,2123.95590198588
반가운 살인자,81318.3241216178
집 나온 남자들,138026.84995587307
베스트셀러,354940.9587454842
작은 연못,24356.923293982665
경,2325.16577560778
대한민국 1%,957984.1113489417
포화 속으로,1554533.7757251307
나쁜 놈이 더 잘 잔다,2931.98285055861
맨발의 꿈,771710.8901918168
요술,102883.8455146117
마법천자문: 대마왕의 부활을 막아라,4930.204259953968
인플루언스,818919.0054675319
미스터 좀비,2136.279209153796
김복남 살인사건의 전말,1261208.1203851383
엄지아빠,2830.8337672928483
탈주,1907.9872994167304
해결사,1438398.1833460596
할,1161.8630078816007
된장,307272.36904536036
조금만 더 가까이,6414.009257531603
우리 만난 적 있나요,29287.27318319153
쩨쩨한 로맨스,507912.4950181036
용서,1095.4969056307962
브라보! 재즈 라이프,2760.495653590572
카페 느와르,1130827.2890628064
오래된 인력거,2302.203845552102
창피해,2076.363151054922
"양 한 마리, 양 두 마리",2151.866902163014
하얀 정글,1541.6400285163859
다슬이,2117.8362618491333
REC 알이씨,1562.1240933884226
량강도 아이들,9626.874305086572
티끌모아 로맨스,108402.24779533524
더 킥,371520.69983950607
커플즈,20815.368682902386
오늘,155123.44317031288
완득이,1080670.7493943046
은어,2240.7704051357973
고래를 찾는 자전거,9458.74601035168
도가니,723304.5007560158
겨울냄새,1580.2179909427177
환타스틱 모던가야그머,1822.5649250025822
블라인드,409180.7482965619
링크,3798.964040111065
퀵,425903.7554593851
모비딕,620917.4899343571
굿바이 보이,18111.765592222237
종로의 기적,3084.2036444357664
회초리,431745.76451827463
체포왕,1039760.9266906265
세상에서 가장 아름다운 이별,4262512.796548243
나는 아빠다,512480.8456106724
수상한 고객들,508149.6000851876
수상한 이웃들,8391.432054630994
돌아오는 길,2324.603286090713
우리 이웃의 범죄,13037.84266651883
엄마는 창녀다,1917.857096051624
위험한 상견례,1025773.1118450505
간증,5788.903600764276
