title,box_off_num
용서는 없다,446011.87796365295
아빠가 여자를 좋아해,1351105.3145153876
하모니,939691.4468374492
의형제,1528931.6730142357
평행 이론,951505.526712981
회오리 바람,6883.338931586953
경계도시 2,2107.565977772338
이웃집 남자,1476.4029507373439
아마존의 눈물 극장판,5396.123728447707
반가운 살인자,108822.67956549811
집 나온 남자들,122647.36785305792
베스트셀러,518877.2969200387
작은 연못,60137.510159486934
경,971.1266446934357
대한민국 1%,445332.7773580126
포화 속으로,1438722.0809741567
나쁜 놈이 더 잘 잔다,6225.311225130247
맨발의 꿈,992447.3050569325
요술,65481.24676064592
마법천자문: 대마왕의 부활을 막아라,43332.88917310071
인플루언스,5272.708359432594
미스터 좀비,3679.706504568722
김복남 살인사건의 전말,889158.2991023326
엄지아빠,2126.5290819902284
탈주,1046.848643700356
해결사,837094.4797729269
할,622.6111432901878
된장,448091.66722112295
조금만 더 가까이,4164.308371788549
우리 만난 적 있나요,4353.167289824732
쩨쩨한 로맨스,598077.3717528665
용서,2752.6207219869834
브라보! 재즈 라이프,4148.46584922276
카페 느와르,285343.81802445935
오래된 인력거,3393.0779816876484
창피해,3499.4287125573155
"양 한 마리, 양 두 마리",2540.723507667909
하얀 정글,1736.8296241294163
다슬이,2279.304854054316
REC 알이씨,1019.6637783566259
량강도 아이들,6418.438039119888
티끌모아 로맨스,214129.68907619597
더 킥,257444.74400186242
커플즈,45856.81416140938
오늘,293648.2734778394
완득이,661254.8657573399
은어,1560.4605169428817
고래를 찾는 자전거,7475.607248560356
도가니,576631.9019404195
겨울냄새,1649.060834932792
환타스틱 모던가야그머,2491.7886719400894
블라인드,547416.9875400804
링크,12275.035549252058
퀵,541527.3466703964
모비딕,1004375.9682969587
굿바이 보이,31477.903708152393
종로의 기적,6381.627581495255
회초리,624810.5198635156
체포왕,1179116.9920400758
세상에서 가장 아름다운 이별,5110874.108597628
나는 아빠다,470986.60030246247
수상한 고객들,806289.0921644949
수상한 이웃들,9545.927406881627
돌아오는 길,1323.068737143715
우리 이웃의 범죄,26513.642012035616
엄마는 창녀다,961.6569074000574
위험한 상견례,833375.3559376952
간증,4248.557599847055
"사랑한다, 사랑하지 않는다",129124.98210090914
"혜화, 동",26595.412748429357
글러브,683703.2057002637
가문의 귀환,525412.0102123399
잔혹한 앵글의 로망스,418.16943952715985
나의 PS 파트너,591766.4648486885
롤플레이,872.3472053243028
마티나,667.2035911262894
음치 클리닉,1406503.9031615092
남영동1985,9868.523908324361
돈 크라이 마미,45410.15671396435
반드시 크게 들을 것 2 : Wild Days,1615.4063040041976
범죄소년,11307.938473216742
내가 살인범이다,1332892.8947586599
터치,7946.305827172639
늑대소년,1056909.5376370219
맥코리아,1524.0803861572763
용의자X,1071148.8424629713
하나안,1500.3319647877129
투 올드 힙합 키드,1836.9893151959307
한경직,2022.0748121697836
미운오리새끼,189730.8672585986
황제펭귄 펭이와 솜이,1544.193696958213
두 개의 문,2084.90055289016
I AM,238845.10800227642
후궁 : 제왕의 첩,1239120.6094364477
"안녕, 하세요!",26977.046010501705
천국의 아이들,3329.827573764945
할머니는 일학년,2404.894936099519
두레소리,2014.00723861102
"봄, 눈",144167.08470873846
은교,155088.96256409065
간기남,1199587.0572004106
시체가 돌아왔다,754453.1032780572
말하는 건축가,3000.663589931043
밀월도 가는 길,3547.814185535034
파파,563536.3859311952
점박이:한반도의 공룡3D,10460.359266468306
댄싱퀸,5166056.374089545
누구의 딸도 아닌 해원,1701.3253416623268
신세계,1594315.567652436
굿바이 홈런,3263.4834334175544
불륜의 시대,1391.4983978916578
남쪽으로 튀어,1061843.4670734936
좋은 친구들,961452.4590426963
지슬 - 끝나지 않은 세월 2,2734.885504644791
누구나 제 명에 죽고 싶다,2493.83674734724
사이코메트리,441473.11873001716
환상속의 그대,4901.887905022501
몽타주,1198224.6429891551
"힘내세요, 병헌씨",6617.185231014982
꼭두각시,2399.056046954185
홀리,3658.0720841224916
마이 라띠마,312110.2499507717
더 테러 라이브,550556.3202882598
슈퍼피쉬 - 끝없는 여정,3812.06569995128
콩가네,2332.8820614973815
허풍,2399.5982572399503
젊은 엄마,974.0044075043078
노라노,3303.067431426403
노브레싱,33219.120406941496
말하는 건축 시티:홀,4699.936224327041
댄서김의 은밀한 교수법,520.8076133503939
소원,331578.62684306875
고양이 소녀,1394.454090666744
롤플레이 2 : 동침,606.660938336146
동창생,1671328.094822236
용의자,1959209.8666733254
미녀전쟁,1837.5302689001267
캐치미,833007.9274642384
그 강아지 그 고양이,21813.15346301958
화려한 외출,871.4831984088909
오하이오 삿포로,817.1081137887811
마이 리틀 히어로,692381.1421974992
박수건달,1918814.4459558455
배꼽,30212.950610503696
나가요 미스콜,1748.3174664149524
우아한 거짓말,572217.6704138778
미스터 컴퍼니,2956.215932167517
우리별 일호와 얼룩소,3474.9666946409043
찌라시: 위험한 소문,1179473.158975771
조선미녀삼총사,1055208.7730570494
만찬,7763.095983137965
한 번도 안 해본 여자,2185.333588176221
살인자,2499.1737563917854
  이것이 우리의 끝이다,5204.271695851786
그댄 나의 뱀파이어,1596.5004334722287
황제를 위하여,264779.8549335976
레디액션! 폭력영화,2780.2711190354285
스퀴시랜드,6858.507820330857
우는 남자,4817037.075176109
하이힐,1107058.6551816133
도희야,51316.403108790306
표적,462073.68289311463
10분,50695.42540104819
메이크 유어 무브,62946.76503283043
카토 프로젝트,938.6422971372075
녀녀녀,1190.330537921923
방황하는 칼날,1295424.8565869702
바리새인,2068.310554817158
욕망의 독: 중독,1526.7157465464086
설계,3564.041773610261
레쓰링,751.2579328506698
원 컷 - 어느 친절한 살인자의 기록,1890.145353395926
픽업 아티스트,7322.019864951704
옹녀뎐,1088.8870065525164
왓니껴,24790.38253312441
족구왕,45115.27572749658
내 연애의 기억,1462.4870332539833
바세코의 아이들,2687.6868418416298
명량,9824209.188177787
군도: 민란의 시대,8892218.133601163
산타바바라,2964.0895478382117
나는 야한 여자가 좋다,670.7680303717407
숙희,852.7192529810035
