title,box_off_num
용서는 없다,360452.53317577444
아빠가 여자를 좋아해,893326.4542575646
하모니,580906.730585654
의형제,1301398.320014003
평행 이론,1085289.939405843
회오리 바람,5458.7548227639445
경계도시 2,2503.2928439339057
이웃집 남자,1803.3108256313737
아마존의 눈물 극장판,6471.818394802978
반가운 살인자,139161.1050963753
집 나온 남자들,113719.6717753099
베스트셀러,517850.7268491523
작은 연못,97061.43523115347
경,1063.606109900979
대한민국 1%,471576.49233126384
포화 속으로,1131273.7452834777
나쁜 놈이 더 잘 잔다,4876.269449190002
맨발의 꿈,857839.7438525422
요술,75177.28768320277
마법천자문: 대마왕의 부활을 막아라,109037.86400123623
인플루언스,1670.8808526286518
미스터 좀비,3860.151583182424
김복남 살인사건의 전말,243611.5033246549
엄지아빠,1862.3744321343606
탈주,1126.4195486976134
해결사,449173.2978740111
할,799.3067208081029
된장,365162.66845886846
조금만 더 가까이,4340.003451010649
우리 만난 적 있나요,1282.582026069672
쩨쩨한 로맨스,511450.4018119401
용서,2387.4136637017473
브라보! 재즈 라이프,4694.462528948504
카페 느와르,70791.87286970123
오래된 인력거,3475.445209600709
창피해,3444.8966405704728
"양 한 마리, 양 두 마리",2789.0984713383978
하얀 정글,2267.0809097042156
다슬이,1721.2369879173914
REC 알이씨,955.0667930926733
량강도 아이들,4076.290998921176
티끌모아 로맨스,100150.7891291423
더 킥,121557.14690410488
커플즈,21992.524043966812
오늘,148204.1524942729
완득이,564308.2288797505
은어,1316.3218415958086
고래를 찾는 자전거,6480.3674129739
도가니,684301.8050270206
겨울냄새,2390.8932098451505
환타스틱 모던가야그머,3575.524463683413
블라인드,732019.3861606074
링크,9492.754583350867
퀵,613259.3024025899
모비딕,1032583.4849649307
굿바이 보이,20200.9546036669
종로의 기적,3514.0523724213813
회초리,498959.4799781629
체포왕,901250.8170733263
세상에서 가장 아름다운 이별,2803137.6552036875
나는 아빠다,317462.9885399048
수상한 고객들,870449.9015260217
수상한 이웃들,6509.216875761523
돌아오는 길,1301.225571936731
우리 이웃의 범죄,26136.631438366003
