title,box_off_num
용서는 없다,96079.10768155905
아빠가 여자를 좋아해,2048350.9103806708
하모니,664281.1571194347
의형제,3926004.7203161274
평행 이론,152602.84743579416
회오리 바람,18711.324247823515
경계도시 2,3646.226076526503
이웃집 남자,11002.745233447144
아마존의 눈물 극장판,7344.572319894648
반가운 살인자,62212.11443332131
집 나온 남자들,103964.47713008136
베스트셀러,181074.01621134314
작은 연못,56768.02223456378
경,8419.148134257926
대한민국 1%,354963.92896416265
포화 속으로,1317010.4321279018
나쁜 놈이 더 잘 잔다,6261.989711171649
맨발의 꿈,1017992.4360606155
요술,45920.31494499335
마법천자문: 대마왕의 부활을 막아라,1064.5525628799685
인플루언스,16294.957483672413
미스터 좀비,9242.622619396454
김복남 살인사건의 전말,427960.858666054
엄지아빠,3513.397681155176
탈주,3061.1100309872913
해결사,1987266.9048256355
할,2164.273904235386
된장,153972.94886590657
조금만 더 가까이,17802.35535084935
우리 만난 적 있나요,35610.05149829416
쩨쩨한 로맨스,118594.23657935769
용서,1812.328320198936
브라보! 재즈 라이프,2829.183160572799
카페 느와르,325848.4946222998
오래된 인력거,3912.0011118503057
창피해,5707.156164310832
"양 한 마리, 양 두 마리",9108.663474062336
하얀 정글,1502.668562875875
다슬이,5855.154915815083
REC 알이씨,1440.704506397788
량강도 아이들,29881.22074197374
티끌모아 로맨스,66789.7310687685
더 킥,135330.3917227152
커플즈,31986.72656300419
오늘,61980.80018103052
완득이,410833.5071076076
은어,6214.338517801789
고래를 찾는 자전거,18729.85575880967
도가니,347129.279600025
겨울냄새,1971.1047185692569
환타스틱 모던가야그머,1946.006796832488
블라인드,137743.06260484835
링크,12229.076288921133
퀵,201445.03303225277
모비딕,843221.2081359327
굿바이 보이,28813.01146720062
종로의 기적,10656.681662165478
회초리,176694.6525041386
체포왕,511876.1272828856
세상에서 가장 아름다운 이별,2339026.939371874
나는 아빠다,234417.01787389032
수상한 고객들,188112.8460973237
수상한 이웃들,30970.331746165804
돌아오는 길,8115.101783688416
우리 이웃의 범죄,27735.95585828257
엄마는 창녀다,4307.676523764028
위험한 상견례,391556.81556872465
간증,7457.596600099784
"사랑한다, 사랑하지 않는다",112176.0387802932
"혜화, 동",28543.093835468906
글러브,445958.2768460717
가문의 귀환,170968.83285951486
잔혹한 앵글의 로망스,228.2791762661506
나의 PS 파트너,62772.45757522382
롤플레이,2197.0402457979317
마티나,1738.837999384795
음치 클리닉,426729.6469921226
남영동1985,24399.557669181464
돈 크라이 마미,22514.39931807816
반드시 크게 들을 것 2 : Wild Days,2689.1091210630484
범죄소년,26107.72175220642
내가 살인범이다,1195303.0862151033
터치,14592.41033672566
늑대소년,153874.7111892245
맥코리아,439.14774478823796
용의자X,272248.1063724802
하나안,2407.2431094841363
투 올드 힙합 키드,1137.191410118625
한경직,1164.7260366180585
미운오리새끼,98185.94160279294
황제펭귄 펭이와 솜이,809.7054684671698
두 개의 문,2594.324980771426
I AM,51113.58958275828
후궁 : 제왕의 첩,212584.13608924946
"안녕, 하세요!",4824.413333689581
천국의 아이들,6853.549626752538
할머니는 일학년,7759.222306096676
두레소리,12048.565750761632
"봄, 눈",40726.57614766254
은교,53852.38918536594
간기남,858725.7081864643
시체가 돌아왔다,80313.90194788047
말하는 건축가,2101.5497225567865
밀월도 가는 길,4656.867578612015
파파,302728.88255559065
점박이:한반도의 공룡3D,5350.141127664293
댄싱퀸,2918839.536088792
누구의 딸도 아닌 해원,3509.8561562608675
신세계,478220.60417026974
굿바이 홈런,801.0675205849171
불륜의 시대,1359.1241840749037
남쪽으로 튀어,217911.106245796
좋은 친구들,126399.8982637068
지슬 - 끝나지 않은 세월 2,8826.029772247122
누구나 제 명에 죽고 싶다,6436.234436660347
사이코메트리,65783.97015904395
환상속의 그대,13312.301467609706
몽타주,315807.51204367273
"힘내세요, 병헌씨",7651.405104012031
꼭두각시,5504.390851446744
홀리,6083.1447950897755
마이 라띠마,72090.64133982445
더 테러 라이브,64101.44585328634
슈퍼피쉬 - 끝없는 여정,1457.2157583342098
콩가네,4581.596005573584
허풍,1058.4179617164211
젊은 엄마,1890.5906175925613
노라노,545.9118018152428
노브레싱,38557.76280970374
말하는 건축 시티:홀,4586.97875028456
댄서김의 은밀한 교수법,88.27362177431212
소원,125697.51147277263
고양이 소녀,1712.8744739119193
롤플레이 2 : 동침,417.517457684086
동창생,5076510.033650065
용의자,6785961.927314869
미녀전쟁,652.0544471910955
캐치미,382095.69289210706
그 강아지 그 고양이,16091.771845272442
화려한 외출,617.5000723779089
오하이오 삿포로,92.97187368264805
마이 리틀 히어로,108020.05145713115
박수건달,3837423.576470022
배꼽,14564.755595396678
나가요 미스콜,581.1610028216785
우아한 거짓말,206379.080222167
미스터 컴퍼니,3051.663968114262
우리별 일호와 얼룩소,9265.956902693695
찌라시: 위험한 소문,358031.62870294787
조선미녀삼총사,3437430.609570171
만찬,17420.737030343054
한 번도 안 해본 여자,9231.05113063271
살인자,3466.536508430984
  이것이 우리의 끝이다,11163.647162861596
그댄 나의 뱀파이어,8579.28241301217
황제를 위하여,72193.70616236512
레디액션! 폭력영화,1235.2130343941324
스퀴시랜드,937.5421194158893
